lat,lng
40.268045,-88.176562
40.110842,-88.172851
40.309568,-88.137637
40.324159,-88.134668
40.321988,-88.153593
40.108475,-88.204841
40.093854,-88.191858
40.112458,-88.207457
40.104222,-88.188649
40.104222,-88.188649
40.122249,-88.157911
40.122249,-88.157911
40.122249,-88.157911
40.122249,-88.157911
40.122249,-88.157911
40.312036,-88.155834
40.066665,-88.242305
40.312036,-88.155834
40.05125,-88.251095
40.302466,-88.129523
40.302466,-88.129523
40.098336,-88.207091
40.098336,-88.207091
40.098285,-88.188328
40.314347,-88.153256
40.305865,-88.136454
40.307429,-88.16194
40.307429,-88.16194
40.112458,-88.207457
40.112458,-88.207457
40.112458,-88.207457
40.116472,-88.214777
40.303572,-87.947726
40.103824,-88.369548
40.302004,-88.129095
40.32011,-88.138844
40.306165,-88.143062
40.28976,-88.164878
40.32011,-88.141238
40.32011,-88.141238
40.112247,-88.219319
40.112247,-88.219319
40.112458,-88.207457
40.116442,-88.206758
40.10263,-88.172725
40.10263,-88.172725
40.113237,-88.16273
40.077439,-88.186631
40.113237,-88.16273
40.112717,-88.208937
40.112717,-88.208937
40.105572,-88.206059
40.308242,-88.159665
40.308242,-88.159665
40.111277,-88.207467
40.104939,-88.188673
40.10626,-88.195277
40.10626,-88.195277
40.10626,-88.195277
40.115679,-88.180416
40.098386,-88.193501
40.132274,-88.218636
40.132274,-88.218636
40.132274,-88.218636
40.132274,-88.218636
40.098376,-88.190717
40.116501,-88.213015
40.091492,-88.191794
40.091492,-88.191794
40.129884,-88.197954
40.312036,-88.155834
40.312036,-88.155834
40.312036,-88.155834
40.312036,-88.155834
40.312036,-88.155834
40.310447,-88.13526
40.312036,-88.155834
40.312062,-88.140443
40.112458,-88.207457
40.32011,-88.141238
40.102997,-88.174966
40.114128,-88.167781
40.049781,-88.252065
40.082515,-88.209392
40.082515,-88.209392
40.110838,-88.202579
40.307847,-88.155797
40.111277,-88.207467
40.0989,-88.2209
40.0989,-88.2209
40.312036,-88.155834
40.312036,-88.155834
40.111277,-88.207467
40.112458,-88.207457
40.312036,-88.155834
40.312036,-88.155834
40.105715,-88.188676
40.32148,-88.140127
40.105572,-88.206059
40.113237,-88.16273
40.103805,-88.188643
40.312036,-88.155834
40.312036,-88.155834
40.297734,-88.131175
40.126475,-88.219516
40.308242,-88.159665
40.308242,-88.159665
40.125562,-88.200339
40.318132,-88.135235
40.127653,-88.219526
40.10626,-88.195277
40.112458,-88.207457
40.099681,-88.178361
40.093851,-88.190661
40.31304,-88.160765
40.18599,-88.298078
40.11001,-88.203731
40.306061,-88.140661
40.306061,-88.140661
40.099681,-88.178361
40.11337,-88.162846
40.11337,-88.162846
40.11337,-88.162846
40.125562,-88.200339
40.125562,-88.200339
40.10626,-88.195277
40.076154,-88.200453
40.117426,-88.212736
40.117426,-88.212736
40.117426,-88.212736
40.302466,-88.129523
40.093791,-88.202666
40.093791,-88.202666
40.098346,-88.190299
40.098346,-88.190299
40.098346,-88.190299
40.112458,-88.207457
40.098285,-88.188328
40.125562,-88.200339
40.206833,-88.364084
40.112458,-88.207457
40.112458,-88.207457
40.112458,-88.207457
40.110804,-88.205223
40.111277,-88.207467
40.100073,-88.184214
40.86183,-89.678292
40.320108,-88.139299
40.312036,-88.155834
40.118012,-88.20408
40.310317,-88.158916
40.310317,-88.158916
40.310317,-88.158916
40.310317,-88.158916
40.310317,-88.158916
40.304103,-88.147902
40.304103,-88.147902
40.112458,-88.207457
40.092284,-88.194731
40.098285,-88.188328
40.105246,-88.17436
40.104866,-88.176392
40.113237,-88.16273
40.113237,-88.16273
40.112458,-88.207457
40.112458,-88.207457
40.116426,-88.208035
40.116426,-88.208035
40.117293,-88.207812
40.117293,-88.207812
40.117293,-88.207812
40.112114,-88.205043
40.085799,-88.190537
40.112458,-88.207457
40.112458,-88.207457
40.112458,-88.207457
40.112458,-88.207457
40.112458,-88.207457
40.105719,-88.190778
40.105719,-88.190778
40.105719,-88.190778
40.114022,-87.962377
40.113237,-88.16273
40.105572,-88.206059
40.101495,-88.192803
40.083361,-88.190494
40.083361,-88.190494
40.113237,-88.16273
